id,date,frequency,brexit,since_ref
1,2016-05-01,97,0,-53
2,2016-05-02,82,0,-52
3,2016-05-03,91,0,-51
4,2016-05-04,97,0,-50
5,2016-05-05,122,0,-49
6,2016-05-06,105,0,-48
7,2016-05-07,107,0,-47
8,2016-05-08,114,0,-46
9,2016-05-09,115,0,-45
10,2016-05-10,106,0,-44
11,2016-05-11,125,0,-43
12,2016-05-12,110,0,-42
13,2016-05-13,114,0,-41
14,2016-05-14,128,0,-40
15,2016-05-15,122,0,-39
16,2016-05-16,92,0,-38
17,2016-05-17,121,0,-37
18,2016-05-18,100,0,-36
19,2016-05-19,102,0,-35
20,2016-05-20,109,0,-34
21,2016-05-21,116,0,-33
22,2016-05-22,97,0,-32
23,2016-05-23,86,0,-31
24,2016-05-24,76,0,-30
25,2016-05-25,96,0,-29
26,2016-05-26,111,0,-28
27,2016-05-27,95,0,-27
28,2016-05-28,102,0,-26
29,2016-05-29,110,0,-25
30,2016-05-30,107,0,-24
31,2016-05-31,98,0,-23
32,2016-06-01,106,0,-22
33,2016-06-02,99,0,-21
34,2016-06-03,88,0,-20
35,2016-06-04,108,0,-19
36,2016-06-05,111,0,-18
37,2016-06-06,120,0,-17
38,2016-06-07,124,0,-16
39,2016-06-08,124,0,-15
40,2016-06-09,129,0,-14
41,2016-06-10,101,0,-13
42,2016-06-11,111,0,-12
43,2016-06-12,111,0,-11
44,2016-06-13,110,0,-10
45,2016-06-14,101,0,-9
46,2016-06-15,110,0,-8
47,2016-06-16,125,0,-7
48,2016-06-17,121,0,-6
49,2016-06-18,112,0,-5
50,2016-06-19,118,0,-4
51,2016-06-20,99,0,-3
52,2016-06-21,115,0,-2
53,2016-06-22,106,0,-1
54,2016-06-23,106,1,0
55,2016-06-24,134,1,1
56,2016-06-25,144,1,2
57,2016-06-26,130,1,3
58,2016-06-27,127,1,4
59,2016-06-28,168,1,5
60,2016-06-29,174,1,6
61,2016-06-30,201,1,7
62,2016-07-01,207,1,8
63,2016-07-02,177,1,9
64,2016-07-03,166,1,10
65,2016-07-04,143,1,11
66,2016-07-05,162,1,12
67,2016-07-06,151,1,13
68,2016-07-07,157,1,14
69,2016-07-08,156,1,15
70,2016-07-09,141,1,16
71,2016-07-10,138,1,17
72,2016-07-11,127,1,18
73,2016-07-12,143,1,19
74,2016-07-13,129,1,20
75,2016-07-14,165,1,21
76,2016-07-15,158,1,22
77,2016-07-16,141,1,23
78,2016-07-17,159,1,24
79,2016-07-18,116,1,25
80,2016-07-19,153,1,26
81,2016-07-20,191,1,27
82,2016-07-21,155,1,28
83,2016-07-22,167,1,29
84,2016-07-23,145,1,30
85,2016-07-24,175,1,31
86,2016-07-25,162,1,32
87,2016-07-26,168,1,33
88,2016-07-27,177,1,34
89,2016-07-28,145,1,35
90,2016-07-29,148,1,36
91,2016-07-30,126,1,37
92,2016-07-31,135,1,38
93,2016-08-01,138,1,39
94,2016-08-02,139,1,40
95,2016-08-03,139,1,41
96,2016-08-04,147,1,42
97,2016-08-05,136,1,43
98,2016-08-06,119,1,44
99,2016-08-07,115,1,45
100,2016-08-08,141,1,46
101,2016-08-09,112,1,47
102,2016-08-10,114,1,48
103,2016-08-11,111,1,49
104,2016-08-12,109,1,50
105,2016-08-13,130,1,51
106,2016-08-14,126,1,52
107,2016-08-15,114,1,53
108,2016-08-16,128,1,54
109,2016-08-17,123,1,55
110,2016-08-18,152,1,56
111,2016-08-19,108,1,57
112,2016-08-20,113,1,58
113,2016-08-21,98,1,59
114,2016-08-22,111,1,60
115,2016-08-23,109,1,61
116,2016-08-24,105,1,62
117,2016-08-25,124,1,63
118,2016-08-26,126,1,64
119,2016-08-27,126,1,65
120,2016-08-28,101,1,66
121,2016-08-29,85,1,67
122,2016-08-30,116,1,68
123,2016-08-31,121,1,69
