id,month,frequency,brexit
1,2013-01-01,2296,0
2,2013-02-01,2049,0
3,2013-03-01,2258,0
4,2013-04-01,2391,0
5,2013-05-01,2903,0
6,2013-06-01,2926,0
7,2013-07-01,3376,0
8,2013-08-01,2916,0
9,2013-09-01,2455,0
10,2013-10-01,2524,0
11,2013-11-01,2373,0
12,2013-12-01,2331,0
13,2014-01-01,2409,0
14,2014-02-01,2139,0
15,2014-03-01,2816,0
16,2014-04-01,2562,0
17,2014-05-01,3034,0
18,2014-06-01,3305,0
19,2014-07-01,3543,0
20,2014-08-01,3260,0
21,2014-09-01,3369,0
22,2014-10-01,3384,0
23,2014-11-01,3136,0
24,2014-12-01,2803,0
25,2015-01-01,2887,0
26,2015-02-01,2933,0
27,2015-03-01,3546,0
28,2015-04-01,3414,0
29,2015-05-01,3490,0
30,2015-06-01,3608,0
31,2015-07-01,3886,0
32,2015-08-01,3589,0
33,2015-09-01,3317,0
34,2015-10-01,3576,0
35,2015-11-01,3610,0
36,2015-12-01,3492,0
37,2016-01-01,3074,0
38,2016-02-01,3063,0
39,2016-03-01,3469,0
40,2016-04-01,3313,0
41,2016-05-01,3736,0
42,2016-06-01,4150,1
43,2016-07-01,5468,1
44,2016-08-01,4307,1
